customer_state,produto,frete,media_das_razoes,agregado,pct_receita
AC,15982.95,3686.75,51.16505559445306,23.066768024676296,0.125414867327467
AL,80232.32,15867.18,47.39766649992358,19.77654391646658,0.6127346142918253
AM,22356.84,5478.89,49.81364819386865,24.506549226098144,0.17748183169612108
AP,13474.3,2788.5,38.44991775182468,20.69495261349384,0.10369232394866879
BA,506214.78,99698.54,39.55172811969811,19.694908947541986,3.8633298240311267
CE,224574.68,47998.15,43.27836941372221,21.372912565209933,1.7379362832947234
DF,299842.68,50284.42,34.39456386358074,16.770267661695126,2.2324257001505243
ES,272614.34,49399.55,35.279354154175124,18.120671861942405,2.0531746438406056
GO,286886.07,52503.63,35.179365294254936,18.30121274274488,2.163963568219588
MA,118587.36,31101.75,55.03691650876943,26.226867686404354,0.9544243110477848
MG,1568855.98,268790.09,33.093212222154364,17.132872196465097,11.716911699918715
MS,116754.65,19121.04,33.99285020569094,16.377112174975476,0.8663493410869527
MT,155985.74,29516.74,39.19651227521395,18.922716909891893,1.1827719242345385
PA,177733.52,38463.93,47.450449941305166,21.641348238644014,1.37848439520108
PB,114824.2,25624.53,51.27314832914104,22.31631485348907,0.8955072440993627
PE,260370.84,58959.01,45.1308461455893,22.644244647365277,2.0360610874314267
PI,86450.09,21069.29,50.07695184428582,24.3716229792242,0.685548268546623
PR,674867.55,116834.34,34.525963261654816,17.31218814714087,5.047925870615966
RJ,1802436.24,303113.4,32.77897536473288,16.816872257295493,13.425076577273467
RN,82306.29,18707.45,50.749267471250505,22.729064813879962,0.6440680234244166
RO,46031.64,11392.13,59.54971913515171,24.74847735166507,0.36613646857821824
RR,7626.85,2116.87,58.02569309471261,27.75549538800422,0.0621263847987507
RS,739357.46,134277.3,35.460954100009154,18.16135053266386,5.570333432541598
SC,516340.22000000003,89182.76,34.70418799365034,17.272092419993932,3.8608409991221246
SE,58635.4,14051.0,46.64358415263637,23.963339552556988,0.46345166487090284
SP,5150778.7,712453.96,26.512403334548623,13.831966028748235,37.38422783082464
TO,49407.99,11695.86,50.05013358424185,23.67200122895103,0.38960081958278187
